window,strike,close,resolved,traded,pnl,equity
1788658200,79923.37951891612,79946.10188673307,,0,0.0,859.64
1788658500,79948.07019319599,80018.44766188588,,0,0.0,859.64
1788658800,80039.28959118447,79982.26805638002,,0,0.0,859.64
1788659100,79979.01161118902,79949.52850660344,,0,0.0,859.64
1788659400,79949.67475506714,79989.92055295441,,0,0.0,859.64
1788659700,79977.89298019951,79952.58275646223,,0,0.0,859.64
1788660000,79953.60085153938,79901.3726279254,,0,0.0,859.64
1788660300,79931.90633092145,79986.55708632611,,0,0.0,859.64
1788660600,79984.31870130451,80007.60902039066,,0,0.0,859.64
1788660900,80001.81751537483,79941.02661570942,,0,0.0,859.64
1788661200,79949.6527872621,79923.74045788607,,0,0.0,859.64
1788661500,79920.15966302252,79919.305745535,,0,0.0,859.64
1788661800,79916.82658391782,79941.94092295688,,0,0.0,859.64
1788662100,79942.0901420878,79920.52032135033,,0,0.0,859.64
1788662400,79935.6177306873,79883.64189877265,,0,0.0,859.64
1788662700,79884.211795005,79884.42457226483,,0,0.0,859.64
1788663000,79884.98615843878,79893.17481800678,,0,0.0,859.64
1788663300,79893.05059881613,79909.02184619509,,0,0.0,859.64
1788663600,79909.16503415519,79921.58810214922,,0,0.0,859.64
1788663900,79921.12946828915,79916.54329411814,,0,0.0,859.64
1788664200,79917.10063408405,79934.64863851051,,0,0.0,859.64
1788664500,79936.0432124076,79967.05815222219,,0,0.0,859.64
1788664800,79967.6791867882,79956.53833058402,,0,0.0,859.64
1788665100,79964.2538676428,79901.82929016554,,0,0.0,859.64
1788665400,79901.84152270653,79961.73439576541,,0,0.0,859.64
1788665700,79960.9326241385,80003.97005588,,0,0.0,859.64
1788666000,80002.61356201908,80107.61485169083,,0,0.0,859.64
1788666300,80107.57963477487,80013.8904211313,,0,0.0,859.64
1788666600,80012.43037545713,80050.85054022506,,0,0.0,859.64
1788666900,80051.33370583541,80032.06041887462,,0,0.0,859.64
1788667200,80032.28169972583,79996.21152159754,,0,0.0,859.64
1788667500,79995.47248947655,79975.11784194718,,0,0.0,859.64
1788667800,79975.44608087,79977.44886055081,,0,0.0,859.64
1788668100,79977.39038295818,79958.74936834135,,0,0.0,859.64
1788668400,79958.10327131189,79918.17228392715,,0,0.0,859.64
1788668700,79938.3008427386,79929.01181915902,,0,0.0,859.64
1788669000,79935.89413613877,79916.02082793099,,0,0.0,859.64
1788669300,79915.4132181702,79905.70901212492,,0,0.0,859.64
1788669600,79912.42520371641,79923.4077452022,,0,0.0,859.64
1788669900,79919.76617568,79922.70137097902,,0,0.0,859.64
1788670200,79919.74480301782,79869.95463504065,,0,0.0,859.64
1788670500,79913.28492237066,79868.746142645,,0,0.0,859.64
1788670800,79867.8989639873,79904.11979206688,,0,0.0,859.64
1788671100,79857.27138167,79871.43775513377,,0,0.0,859.64
1788671400,79859.86155780681,79812.50322455494,,0,0.0,859.64
1788671700,79812.11248799007,79818.91383740153,,0,0.0,859.64
1788672000,79801.45504828542,79851.66865247459,,0,0.0,859.64
1788672300,79850.35567388196,79852.00698576165,,0,0.0,859.64
1788672600,79850.82416603595,79918.50173497613,,0,0.0,859.64
1788672900,79924.71650089997,80028.82954203119,,0,0.0,859.64
1788673200,80088.66329683499,80025.82987536973,,0,0.0,859.64
1788673500,80026.11443941276,80002.18003063687,,0,0.0,859.64
1788673800,80001.93135498675,79993.97802366654,,0,0.0,859.64
1788674100,79993.59424950824,79984.64031928346,,0,0.0,859.64
1788674400,79990.33103846855,79962.13225660128,,0,0.0,859.64
1788674700,79962.03763722721,79942.82281749936,,0,0.0,859.64
1788675000,79942.84113323838,79929.50445028378,,0,0.0,859.64
1788675300,79927.92806629025,79913.38590548804,,0,0.0,859.64
1788675600,79913.6794145363,79842.34756633748,,0,0.0,859.64
1788675900,79849.00537397827,79837.45433671,,0,0.0,859.64
1788676200,79836.98699154891,79847.85108192803,,0,0.0,859.64
1788676500,79827.05420351798,79829.52099961285,,0,0.0,859.64
1788676800,79829.46841022199,79808.2708677967,,0,0.0,859.64
1788677100,79821.33471465296,79760.13656401355,,0,0.0,859.64
1788677400,79758.75638516784,79790.93162839561,,0,0.0,859.64
1788677700,79789.8247249982,79773.59595574245,,0,0.0,859.64
1788678000,79782.571227295,79794.6684634282,,0,0.0,859.64
1788678300,79795.86352704064,79758.54752435995,,0,0.0,859.64
1788678600,79759.03752529398,79659.94322878,,0,0.0,859.64
1788678900,79681.86290834,79804.75749030738,,0,0.0,859.64
1788679200,79810.56970308654,79790.7258433614,,0,0.0,859.64
1788679500,79785.37028569695,79847.2590121278,,0,0.0,859.64
1788679800,79829.65653410055,79819.56943083779,,0,0.0,859.64
1788680100,79823.90253016903,79812.74564278105,,0,0.0,859.64
1788680400,79828.52914472934,79850.34373557648,,0,0.0,859.64
1788680700,79849.25646903896,79846.02921246293,,0,0.0,859.64
1788681000,79847.3813724905,79825.1461504681,,0,0.0,859.64
1788681300,79822.8828049469,79846.6945474287,,0,0.0,859.64
1788681600,79814.34064846438,79838.93377216852,,0,0.0,859.64
1788681900,79853.45899684957,79887.35033107163,,0,0.0,859.64
1788682200,79880.01289210538,79873.4445257416,,0,0.0,859.64
1788682500,79874.29152080513,79838.79900385416,,0,0.0,859.64
1788682800,79837.14588181091,79817.11185483573,,0,0.0,859.64
1788683100,79818.80036183547,79806.6026998937,,0,0.0,859.64
1788683400,79807.47986002998,79800.56187891871,,0,0.0,859.64
1788683700,79798.95524548698,79797.32824470705,,0,0.0,859.64
1788684000,79795.55978075563,79785.91857070883,,0,0.0,859.64
1788684300,79784.69866598693,79762.88842618716,,0,0.0,859.64
1788684600,79776.47199763492,79852.39394353499,,0,0.0,859.64
1788684900,79853.987666584,79842.17497570433,,0,0.0,859.64
1788685200,79841.89181004824,79874.29278198,,0,0.0,859.64
1788685500,79873.64334449502,79866.84597961,,0,0.0,859.64
1788685800,79876.5051291292,79919.50601990246,,0,0.0,859.64
1788686100,79930.98302231207,79944.3426104966,,0,0.0,859.64
1788686400,79933.66855275966,79969.08928350061,,0,0.0,859.64
1788686700,79970.93094874825,79992.70195892957,,0,0.0,859.64
1788687000,79990.30269347741,79975.2304210084,,0,0.0,859.64
1788687300,79975.20579160034,79915.66453376297,,0,0.0,859.64
1788687600,79915.86149702659,79862.65926578653,,0,0.0,859.64
1788687900,79862.74281918803,79861.70041986059,,0,0.0,859.64
1788688200,79862.57375926,79865.49884368938,,0,0.0,859.64
1788688500,79865.54002763549,79889.32443282194,,0,0.0,859.64
1788688800,79889.56706908865,79920.99795202,,0,0.0,859.64
1788689100,79920.82787673599,79925.00506864,,0,0.0,859.64
1788689400,79924.60797925237,79925.12796807621,,0,0.0,859.64
1788689700,79925.01793242,79980.23193435348,,0,0.0,859.64
1788690000,79979.78800946861,79974.19651277788,,0,0.0,859.64
1788690300,79974.44177322749,79981.7633099817,,0,0.0,859.64
1788690600,79977.49302213863,79985.58748642102,,0,0.0,859.64
1788690900,79984.89612206734,79971.35036431,,0,0.0,859.64
1788691200,79972.16587247663,80017.1515999397,,0,0.0,859.64
1788691500,80016.7209873522,79990.63354708927,,0,0.0,859.64
1788691800,79990.81963149969,80007.23349471555,,0,0.0,859.64
1788692100,80006.61195081905,80003.70678075321,,0,0.0,859.64
1788692400,80004.03105677693,79986.83418773544,,0,0.0,859.64
1788692700,79976.73767201824,79950.49310385968,,0,0.0,859.64
1788693000,79947.54003175288,79981.69791004097,,0,0.0,859.64
1788693300,79982.46456437235,79969.25111865,,0,0.0,859.64
1788693600,79972.94262119259,79942.49424338323,,0,0.0,859.64
1788693900,79941.91508716483,79931.36593120468,,0,0.0,859.64
